Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994084,10520,1,,1,7118,75,,,
China,Western Pacific,99381761,6755,0,,0,122398,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977795,51256,,,,7713,404,3,,3
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9573,40,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89437,534,,,,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88531,336,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8657138,49732,113,1,113,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836510,8250,,,,10353,102,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82516,14066,,,,1406,240,,,
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,,,,125,2,,,
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7661,25337,0,,0,64,212,0,,0
Mexico,Americas,7629910,5918,30,,30,335097,260,0,,0
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Guyana,Americas,75520,9601,,,,1312,167,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cyprus,Europe,718652,80929,48,5,48,1364,154,,,
Belize,Americas,71493,17980,0,,0,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.79142318E8,4823062.0,12033.0,101.0,12033.0,7111892.0,29551.0,268.0,,268.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Turks and Caicos Islands,Americas,6933,17906,0,,0,41,106,0,,0
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68733,248,,,,1428,5,,,
Poland,Europe,6840581,18021,926,2,926,120990,319,0,,0
Indonesia,South-East Asia,6830274,2497,,,,162059,59,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672812,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,656455,16273,0,,0,12290,305,0,,0
Cabo Verde,Africa,64550,11610,,,,417,75,,,
Myanmar,South-East Asia,643401,1183,,,,19494,36,,,
Colombia,Americas,6402746,12583,42,,42,142805,281,0,,0
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Mauritania,Africa,63891,1374,,,,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,63193,8190,,,,21,3,,,
Estonia,Europe,617211,46443,139,10,139,3412,257,3,,3
Austria,Europe,6083763,68349,13,,13,22534,253,,,
Greece,Europe,5858718,54660,1795,17,1795,40234,375,2,,2
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5671586,55086,,,,29642,288,1,,1
Ukraine,Europe,5555203,12702,55,,55,109937,251,0,,0
Venezuela (Bolivarian Republic of),Americas,552743,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Thailand,South-East Asia,5419906,7765,,,,34993,50,,,
Chile,Americas,5410445,28303,4,,4,62886,329,0,,0
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5329836,16467,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51899,52771,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501324,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Belgium,Europe,4906973,42586,175,2,175,34339,298,,,
Gabon,Africa,49069,2205,,,,307,14,,,
Czechia,Europe,4885911,45689,405,4,405,43926,411,0,,0
Israel,Europe,4841701,55938,2,,2,12707,147,,,
Canada,Americas,4819055,12768,,,,55282,146,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,473041,4776,0,,0,11114,112,0,,0
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,454893,15351,,,,8785,296,,,
Peru,Americas,4533436,13749,,,,221067,670,,,
India,South-East Asia,45056126,3265,,,,533847,39,,,
Switzerland,Europe,4491403,51896,162,2,162,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43606,73,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4073151,6868,,,,102595,173,,,
Bosnia and Herzegovina,Europe,404289,12323,,,,16407,500,,,
Luxembourg,Europe,401461,64120,66,11,66,1000,160,,,
Pitcairn,,4,8000,,,,0,,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Togo,Africa,39553,478,,,,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
France,Europe,39058427,60054,284,,284,168202,259,3,,3
Anguilla,Americas,3904,26023,,,,12,80,,,
Guinea,Africa,38593,294,,,,468,4,,,
Germany,Europe,38437952,46218,1,,1,174979,210,,,
